press_date_at,die_number,pressing_type,plan_billet_quantities,actual_billet_quantities,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
03-19,MYB16H-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-17,MHY20B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-17,MHY25B-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-11,XLA16B2-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-11,XLA16BN-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09,SY50MP-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06,SY30MP-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-02,SY50M-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-25,VV10M1-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-22,SY30M-V01B,〇,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-05,CQ40T-V01B,〇,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-05,XLA25B2-V01B,〇,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-05,MXS08TB-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02,MXS08TB-V01D,〇,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01,CQ32T-V01B,〇,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01,CQ40T-V01B,〇,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
